grupo_presentacion,jurisdiccion_1,jurisdiccion_2,pares_estaciones,distancia_promedio_km,distancia_mediana_km,gap_carga_promedio_pct,gap_carga_mediana_pct,gap_carga_mediana_abs_pct,gap_volumen_promedio_litros,gap_volumen_mediano_litros,consistencia_hipotesis_pct,jurisdiccion_con_menor_carga_mas_frecuente,color_principal_hex,color_acento_hex,color_fondo_hex,color_visual_hex,escenario_slide
CABA vs Provincia,CABA,La Matanza,36,1.4663055555555555,1.492,15079.086944444445,12.245000000000001,12.245000000000001,4046445.0,80545.00000000001,66.66666666666666,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517,CABA vs Provincia
CABA vs Provincia,CABA,Vicente López,13,1.5121538461538462,1.599,16.61230769230769,6.16,6.16,160220.0,195770.0,84.61538461538461,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517,CABA vs Provincia
CABA vs Provincia,CABA,Avellaneda,8,1.734125,1.8119999999999998,16759.223749999997,55.36,55.36,201220.0,258380.0,87.5,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517,CABA vs Provincia
CABA vs Provincia,CABA,General San Martín,5,1.1972,1.133,36.91,36.91,36.91,20732392.0,292580.0,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517,CABA vs Provincia
CABA vs Provincia,CABA,Tres de Febrero,3,1.327,1.172,46.82,57.31,57.31,42893.333333333336,26819.999999999993,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517,CABA vs Provincia
CABA vs Provincia,CABA,Lomas de Zamora,2,1.6185,1.6185,17.12,17.12,17.12,297190.0,297190.0,100.0,CABA,#2C2C2A,#BA7517,#F7F5EE,#BA7517,CABA vs Provincia
Interpartido BA,La Matanza,Morón,49,1.3216938775510205,1.427,24.612448979591836,19.85,19.85,-4983130.204081632,46190.0,67.3469387755102,Morón,#2C2C2A,#BA7517,#F7F5EE,#BA7517,Municipio vs Municipio
Interpartido BA,San Isidro,Vicente López,25,1.16104,1.1,163.1008,25.21,25.21,141673.2,66809.99999999999,88.0,Vicente López,#2C2C2A,#BA7517,#F7F5EE,#BA7517,Municipio vs Municipio
Interpartido BA,Avellaneda,Lanús,21,1.5063809523809524,1.494,16.143333333333334,9.8,9.8,7081345.238095238,58440.0,66.66666666666666,Avellaneda,#2C2C2A,#BA7517,#F7F5EE,#BA7517,Municipio vs Municipio
Interpartido BA,San Fernando,Tigre,20,1.46905,1.5554999999999999,11.4355,7.92,7.92,19608921.5,78275.0,55.00000000000001,Tigre,#2C2C2A,#BA7517,#F7F5EE,#BA7517,Municipio vs Municipio
Interpartido BA,La Matanza,Tres de Febrero,17,1.346235294117647,1.431,15.514117647058825,12.26,12.26,25404.11764705883,359.99999999999943,52.94117647058824,Tres de Febrero,#2C2C2A,#BA7517,#F7F5EE,#BA7517,Municipio vs Municipio
Interpartido BA,Almirante Brown,Lomas de Zamora,15,1.5907333333333333,1.805,22.229333333333333,16.14,16.14,3839864.0,-21909.999999999996,40.0,Lomas de Zamora,#2C2C2A,#BA7517,#F7F5EE,#2C2C2A,Municipio vs Municipio
Interpartido BA,Florencio Varela,Quilmes,5,1.5626,1.66,33.236000000000004,35.31,35.31,112652.0,103140.0,100.0,Quilmes,#2C2C2A,#BA7517,#F7F5EE,#BA7517,Dos municipios destacados
Interpartido BA,General San Martín,Vicente López,3,1.5056666666666667,1.556,4.239999999999999,5.699999999999999,5.699999999999999,60640.0,49320.00000000001,100.0,Vicente López,#2C2C2A,#BA7517,#F7F5EE,#BA7517,Dos municipios destacados
